profile,branch,eigenvalue,epsilon,theta,theta_over_pi,probability_density,mass
single_wall,chiral,-0.0100508982961,0.02,0.234336747531,0.0745917034352,2.07877575811e-31,0.9726685611
single_wall,chiral,-0.0100508982961,0.02,0.236429871382,0.0752579654501,1.91892909185e-31,0.972180411756
single_wall,chiral,-0.0100508982961,0.02,0.238522995234,0.0759242274651,9.92977254682e-32,0.971688003129
single_wall,chiral,-0.0100508982961,0.02,0.240616119086,0.0765904894801,1.17794289175e-31,0.971191337375
single_wall,chiral,-0.0100508982961,0.02,0.242709242937,0.0772567514951,1.02914787506e-31,0.970690416671
single_wall,chiral,-0.0100508982961,0.02,0.244802366789,0.0779230135101,4.09734881649e-32,0.970185243211
single_wall,chiral,-0.0100508982961,0.02,0.24689549064,0.078589275525,1.01287091644e-31,0.969675819209
single_wall,chiral,-0.0100508982961,0.02,0.248988614492,0.07925553754,7.82636480584e-32,0.969162146896
single_wall,chiral,-0.0100508982961,0.02,0.251081738344,0.079921799555,6.22288719208e-32,0.968644228524
single_wall,chiral,-0.0100508982961,0.02,0.253174862195,0.08058806157,9.94748757335e-32,0.96812206636
single_wall,chiral,-0.0100508982961,0.02,0.255267986047,0.081254323585,9.83406663929e-32,0.967595662692
single_wall,chiral,-0.0100508982961,0.02,0.257361109899,0.0819205855999,1.48217773681e-31,0.967065019828
single_wall,chiral,-0.0100508982961,0.02,0.25945423375,0.0825868476149,1.26502746204e-31,0.966530140091
single_wall,chiral,-0.0100508982961,0.02,0.261547357602,0.0832531096299,1.75888048469e-31,0.965991025826
single_wall,chiral,-0.0100508982961,0.02,0.263640481453,0.0839193716449,1.23450578711e-31,0.965447679394
single_wall,chiral,-0.0100508982961,0.02,0.265733605305,0.0845856336599,1.23884455868e-31,0.964900103175
single_wall,chiral,-0.0100508982961,0.02,0.267826729157,0.0852518956748,1.85255931846e-31,0.964348299569
single_wall,chiral,-0.0100508982961,0.02,0.269919853008,0.0859181576898,1.9136890273e-31,0.963792270993
single_wall,chiral,-0.0100508982961,0.02,0.27201297686,0.0865844197048,1.97613968259e-31,0.963232019883
single_wall,chiral,-0.0100508982961,0.02,0.274106100712,0.0872506817198,2.31902869507e-31,0.962667548694
single_wall,chiral,-0.0100508982961,0.02,0.276199224563,0.0879169437348,1.95289186213e-31,0.962098859899
single_wall,chiral,-0.0100508982961,0.02,0.278292348415,0.0885832057497,1.82791391647e-31,0.961525955989
single_wall,chiral,-0.0100508982961,0.02,0.280385472266,0.0892494677647,2.45653327258e-31,0.960948839474
single_wall,chiral,-0.0100508982961,0.02,0.282478596118,0.0899157297797,2.78802100172e-31,0.960367512883
single_wall,chiral,-0.0100508982961,0.02,0.28457171997,0.0905819917947,3.33703425477e-31,0.959781978763
single_wall,chiral,-0.0100508982961,0.02,0.286664843821,0.0912482538097,2.65962659371e-31,0.959192239679
single_wall,chiral,-0.0100508982961,0.02,0.288757967673,0.0919145158246,3.55667021726e-31,0.958598298214
single_wall,chiral,-0.0100508982961,0.02,0.290851091525,0.0925807778396,4.16230160005e-31,0.958000156972
single_wall,chiral,-0.0100508982961,0.02,0.292944215376,0.0932470398546,5.43606768962e-31,0.957397818571
single_wall,chiral,-0.0100508982961,0.02,0.295037339228,0.0939133018696,7.04178515825e-31,0.956791285653
single_wall,chiral,-0.0100508982961,0.02,0.297130463079,0.0945795638846,7.82330954142e-31,0.956180560872
single_wall,chiral,-0.0100508982961,0.02,0.299223586931,0.0952458258996,1.08716807519e-30,0.955565646906
single_wall,chiral,-0.0100508982961,0.02,0.301316710783,0.0959120879145,1.37161731457e-30,0.954946546449
single_wall,chiral,-0.0100508982961,0.02,0.303409834634,0.0965783499295,1.80550710405e-30,0.954323262212
single_wall,chiral,-0.0100508982961,0.02,0.305502958486,0.0972446119445,2.18431894637e-30,0.953695796927
single_wall,chiral,-0.0100508982961,0.02,0.307596082338,0.0979108739595,2.74630674463e-30,0.953064153343
single_wall,chiral,-0.0100508982961,0.02,0.309689206189,0.0985771359745,3.45479046296e-30,0.952428334226
single_wall,chiral,-0.0100508982961,0.02,0.311782330041,0.0992433979894,3.9524673849e-30,0.951788342363
single_wall,chiral,-0.0100508982961,0.02,0.313875453893,0.0999096600044,4.97761615308e-30,0.951144180557
single_wall,chiral,-0.0100508982961,0.02,0.315968577744,0.100575922019,5.76042040073e-30,0.950495851631
single_wall,chiral,-0.0100508982961,0.02,0.318061701596,0.101242184034,6.80396134007e-30,0.949843358425
single_wall,chiral,-0.0100508982961,0.02,0.320154825447,0.101908446049,7.98502944249e-30,0.949186703797
single_wall,chiral,-0.0100508982961,0.02,0.322247949299,0.102574708064,9.79810459855e-30,0.948525890625
single_wall,chiral,-0.0100508982961,0.02,0.324341073151,0.103240970079,1.09921328901e-29,0.947860921804
single_wall,chiral,-0.0100508982961,0.02,0.326434197002,0.103907232094,1.33022329461e-29,0.947191800247
single_wall,chiral,-0.0100508982961,0.02,0.328527320854,0.104573494109,1.49531181048e-29,0.946518528886
single_wall,chiral,-0.0100508982961,0.02,0.330620444706,0.105239756124,1.78232517696e-29,0.94584111067
single_wall,chiral,-0.0100508982961,0.02,0.332713568557,0.105906018139,2.15575765191e-29,0.945159548567
single_wall,chiral,-0.0100508982961,0.02,0.334806692409,0.106572280154,2.61046064177e-29,0.944473845563
single_wall,chiral,-0.0100508982961,0.02,0.33689981626,0.107238542169,3.22178480923e-29,0.943784004663
single_wall,chiral,-0.0100508982961,0.02,0.338992940112,0.107904804184,3.84022560964e-29,0.943090028889
single_wall,chiral,-0.0100508982961,0.02,0.341086063964,0.108571066199,4.73890138593e-29,0.94239192128
single_wall,chiral,-0.0100508982961,0.02,0.343179187815,0.109237328214,5.78343170769e-29,0.941689684897
single_wall,chiral,-0.0100508982961,0.02,0.345272311667,0.109903590229,7.04484626429e-29,0.940983322815
single_wall,chiral,-0.0100508982961,0.02,0.347365435519,0.110569852244,8.66121258891e-29,0.940272838128
single_wall,chiral,-0.0100508982961,0.02,0.34945855937,0.111236114259,1.05864193588e-28,0.939558233951
single_wall,chiral,-0.0100508982961,0.02,0.351551683222,0.111902376274,1.30454593065e-28,0.938839513413
single_wall,chiral,-0.0100508982961,0.02,0.353644807073,0.112568638289,1.60411608094e-28,0.938116679663
single_wall,chiral,-0.0100508982961,0.02,0.355737930925,0.113234900304,1.96312436033e-28,0.937389735869
single_wall,chiral,-0.0100508982961,0.02,0.357831054777,0.113901162319,2.41100208388e-28,0.936658685215
single_wall,chiral,-0.0100508982961,0.02,0.359924178628,0.114567424334,2.91522017981e-28,0.935923530903
single_wall,chiral,-0.0100508982961,0.02,0.36201730248,0.115233686349,3.57404994438e-28,0.935184276156
single_wall,chiral,-0.0100508982961,0.02,0.364110426332,0.115899948364,4.35018658465e-28,0.934440924211
single_wall,chiral,-0.0100508982961,0.02,0.366203550183,0.116566210379,5.28563528833e-28,0.933693478325
single_wall,chiral,-0.0100508982961,0.02,0.368296674035,0.117232472394,6.43574268421e-28,0.932941941774
single_wall,chiral,-0.0100508982961,0.02,0.370389797886,0.117898734409,7.85870161393e-28,0.932186317848
single_wall,chiral,-0.0100508982961,0.02,0.372482921738,0.118564996424,9.55401479919e-28,0.931426609861
